,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,semantic_similarity_nouns,semantic_similarity_verbs,semantic_similarity_adjectives,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,Contingency.Cause.Reason,Expansion.Substitution.Arg2-as-subst,Contingency.Cause.Result,Contingency.Purpose.Arg1-as-goal,Expansion.Conjunction,Temporal.Asynchronous.Succession,Comparison.Contrast,Temporal.Asynchronous.Precedence,Expansion.Exception.Arg2-as-except,Comparison.Concession.Arg1-as-denier,Contingency.Negative-condition.Arg2-as-negCond,Expansion.Disjunction,Expansion.Manner.Arg1-as-manner,Contingency.Negative-condition.Arg1-as-negCond,Comparison.Concession.Arg2-as-denier,Temporal.Synchronous,Contingency.Purpose.Arg2-as-goal,Expansion.Exception.Arg1-as-except,Expansion.Level-of-detail.Arg2-as-detail,Expansion.Substitution.Arg1-as-subst,Contingency.Condition.Arg1-as-cond,Expansion.Instantiation.Arg2-as-instance,Contingency.Condition.Arg2-as-cond,Expansion.Equivalence,Expansion.Manner.Arg2-as-manner
0,summary_FFN_maz-10110,21.8,5.8256879999999995,2.119266,109,5.6,7.0,1.0,0.2,0.0,0.18348599999999998,0.082569,0.165138,0.10091699999999999,0.099174,0.146789,0.082569,0.06422,0.211009,0.082569,0.730769,7.983065,4.0,0.212902,0.39494,0.214825,1.8,1.8,2.4,1,0,0,0,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
1,summary_FFN_maz-10175,15.5,7.0,2.3870970000000002,31,4.5,7.0,0.5,0.5,0.0,0.16129000000000002,0.06451599999999999,0.290323,0.096774,0.08823500000000001,0.225806,0.0,0.0,0.16129000000000002,0.096774,0.896552,7.877018,2.5,0.332962,0.490623,0.183535,0.0,1.5,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,summary_FFN_maz-10205,17.666667,5.820755,2.0660380000000003,106,5.5,6.6666669999999995,1.0,0.5,0.0,0.103774,0.04717,0.216981,0.141509,0.10924400000000001,0.141509,0.028301999999999997,0.009434,0.18867899999999999,0.122642,0.78,8.82652,1.833333,0.189778,0.551246,0.180492,0.5,2.0,0.833333,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,summary_FFN_maz-10207,27.714285999999998,5.690722,1.979381,194,8.428571,7.857142999999999,1.4285709999999998,0.714286,0.0,0.134021,0.041237,0.23195900000000003,0.082474,0.097674,0.12371099999999999,0.06701,0.082474,0.154639,0.082474,0.6918920000000001,8.527178,3.714286,0.205673,0.37305,0.272534,1.857143,2.428571,4.142857,1,0,3,0,13,1,1,1,0,0,0,0,0,0,1,2,5,0,0,0,0,0,1,0,0
4,summary_FFN_maz-10374,25.5,5.303922,1.8725490000000002,102,6.5,7.5,0.5,0.75,0.0,0.08823500000000001,0.019608,0.166667,0.068627,0.055555999999999994,0.166667,0.04902,0.04902,0.117647,0.156863,0.663265,8.001789,2.25,0.147925,0.239948,0.129477,1.25,3.0,3.5,2,0,0,0,2,0,3,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0
5,summary_FFN_maz-10423,18.0,5.537037000000001,1.953704,108,4.0,7.1666669999999995,1.0,0.0,0.0,0.138889,0.064815,0.194444,0.11111099999999999,0.114754,0.175926,0.055555999999999994,0.027777999999999997,0.185185,0.11111099999999999,0.705882,7.772746000000001,2.5,0.160154,0.3849,0.163175,1.0,2.166667,2.833333,2,0,3,0,2,0,1,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0
6,summary_FFN_maz-10503,14.4,5.9166669999999995,2.152778,72,3.8,5.2,0.8,0.6,0.0,0.166667,0.069444,0.194444,0.152778,0.11111099999999999,0.152778,0.069444,0.027777999999999997,0.208333,0.083333,0.776119,8.620585,2.4,0.19934100000000002,0.44810900000000004,0.17349,1.0,1.6,1.4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
7,summary_FFN_maz-10575,21.8,5.541283999999999,1.9816509999999998,109,5.8,6.6,1.6,0.2,0.0,0.165138,0.06422,0.211009,0.09174299999999999,0.106557,0.11926600000000001,0.055046000000000005,0.073394,0.18348599999999998,0.12844,0.7403850000000001,8.360555999999999,3.6,0.173484,0.41053100000000003,0.22719699999999998,1.2,1.4,2.2,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0
8,summary_FFN_maz-10652,27.0,5.370369999999999,1.814815,27,6.0,7.0,2.0,0.0,0.0,0.22222199999999998,0.11111099999999999,0.11111099999999999,0.074074,0.15625,0.11111099999999999,0.11111099999999999,0.074074,0.22222199999999998,0.037037,0.8846149999999999,7.070724,6.0,0.050376,0.48101400000000005,0.10228999999999999,3.0,2.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,summary_FFN_maz-10902,16.5,5.4545449999999995,2.040404,99,4.5,6.8333330000000005,1.333333,0.166667,0.166667,0.212121,0.10101,0.212121,0.080808,0.123894,0.11111099999999999,0.070707,0.070707,0.212121,0.090909,0.755319,6.930027000000001,3.5,0.159402,0.389021,0.274969,1.166667,0.666667,1.666667,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
