#label,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,pronouns_per_sentence,articles_per_sentence,semantic_similarity_nouns,semantic_similarity_verbs,"semantic_similarity_adjectives
"

0.0,miniklexi_0,7.285714,4.862745,1.627451,102,2.214286,3.857143,0.071429,0.357143,0.0,0.176471,0.088235,0.235294,0.107843,0.097345,0.058824,0.088235,0.04902,0.176471,0.137255,0.683168,7.406711,1.285714,0.642857,0.142857,0.164365,0.339265,"0.329539
"

0.0,miniklexi_1,8.090909,4.494382,1.539326,89,2.454545,4.363636,0.0,0.363636,0.090909,0.11236,0.05618,0.191011,0.05618,0.091837,0.224719,0.011236,0.011236,0.157303,0.146067,0.590909,7.652426,0.909091,0.090909,1.454545,0.207224,0.405196,"0.241409
"

0.0,miniklexi_2,7.1875,4.521739,1.634783,115,2.75,3.5,0.3125,0.6875,0.0625,0.121739,0.017391,0.347826,0.026087,0.128788,0.226087,0.052174,0.017391,0.208696,0.113043,0.517544,8.269501,0.875,0.375,1.3125,0.257176,0.401604,"0.011698
"

0.0,miniklexi_3,7.2,5.0,1.743056,144,2.0,3.85,0.15,0.35,0.0,0.138889,0.076389,0.243056,0.111111,0.1,0.138889,0.083333,0.020833,0.208333,0.090278,0.531469,7.80238,1.0,0.6,0.6,0.249245,0.449268,"0.249822
"

0.0,miniklexi_4,6.235294,5.132075,1.877358,106,2.176471,3.470588,0.117647,0.470588,0.0,0.141509,0.04717,0.264151,0.066038,0.101695,0.160377,0.084906,0.009434,0.188679,0.122642,0.704762,7.951559,0.882353,0.529412,0.647059,0.161453,0.386161,"0.202404
"

0.0,miniklexi_5,7.2,4.729167,1.666667,144,2.4,3.75,0.1,0.5,0.05,0.125,0.048611,0.215278,0.076389,0.09434,0.104167,0.131944,0.027778,0.208333,0.138889,0.65035,8.063159,0.9,0.95,0.5,0.129006,0.423485,"0.217662
"

0.0,miniklexi_6,8.230769,5.168224,1.719626,107,2.692308,4.307692,0.153846,0.538462,0.0,0.140187,0.056075,0.186916,0.046729,0.101695,0.168224,0.046729,0.037383,0.168224,0.130841,0.588785,7.84001,1.153846,0.384615,0.615385,0.245519,0.275861,"0.248073
"

0.0,miniklexi_7,4.3125,4.434783,1.594203,69,1.5625,3,0.0625,0.375,0.0,0.202899,0.086957,0.217391,0.043478,0.158537,0.115942,0.101449,0.043478,0.318841,0.086957,0.602941,8.044672,0.875,0.4375,0.3125,0.192898,0.435905,"0.139337
"

0.0,miniklexi_8,6.666667,5.266667,1.933333,120,1.833333,3.833333,0.0,0.166667,0.111111,0.191667,0.125,0.225,0.083333,0.117647,0.133333,0.075,0.008333,0.191667,0.066667,0.658333,7.206267,1.277778,0.5,0.5,0.072949,0.430237,"0.391642
"

0.0,miniklexi_9,7.181818,4.506329,1.56962,79,2.181818,3.545455,0.090909,0.636364,0.181818,0.101266,0.012658,0.189873,0.075949,0.091954,0.189873,0.025316,0.0,0.189873,0.177215,0.628205,7.774436,0.727273,0.181818,0.545455,0.204404,0.494618,"0.252067
"

0.0,miniklexi_10,5.894737,5.553571,2.017857,112,1.894737,3.263158,0.105263,0.315789,0.0,0.169643,0.089286,0.258929,0.107143,0.111111,0.142857,0.098214,0.035714,0.232143,0.044643,0.585586,8.221235,1.0,0.578947,0.315789,0.139388,0.411628,"0.210498
"

0.0,miniklexi_11,7.388889,5.255639,1.977444,133,2.444444,3.777778,0.055556,0.388889,0.055556,0.142857,0.06015,0.12782,0.022556,0.102041,0.112782,0.067669,0.015038,0.172932,0.142857,0.590909,7.591431,1.055556,0.5,0.333333,0.141832,0.500345,"0.175646
"

0.0,miniklexi_12,8.076923,5.190476,1.942857,105,2.615385,3.692308,0.076923,0.692308,0.0,0.133333,0.028571,0.32381,0.057143,0.086957,0.133333,0.028571,0.047619,0.171429,0.133333,0.605769,8.119399,1.076923,0.230769,0.615385,0.110687,0.359731,"0.114448
"

0.0,miniklexi_13,6.947368,4.477273,1.636364,132,2.526316,3.631579,0.157895,0.473684,0.105263,0.121212,0.037879,0.265152,0.030303,0.09589,0.136364,0.083333,0.037879,0.19697,0.106061,0.603053,8.175829,0.842105,0.578947,0.473684,0.205754,0.346317,"0.127125
"

0.0,miniklexi_14,6.421053,5.131148,1.762295,122,2.157895,3.263158,0.0,0.368421,0.052632,0.147541,0.065574,0.229508,0.032787,0.096296,0.196721,0.057377,0.008197,0.196721,0.098361,0.578512,7.814631,0.947368,0.368421,0.894737,0.117894,0.458717,"0.441121
"

0.0,miniklexi_15,6.117647,5.067308,1.903846,104,2.294118,3.411765,0.0,0.294118,0.117647,0.153846,0.076923,0.221154,0.038462,0.104348,0.105769,0.086538,0.009615,0.201923,0.134615,0.601942,8.044947,0.941176,0.529412,0.352941,0.187775,0.486717,"0.284815
"

0.0,miniklexi_16,7.0,5.255102,1.663265,98,2.428571,3.571429,0.0,0.571429,0.0,0.153061,0.040816,0.27551,0.040816,0.084112,0.153061,0.071429,0.030612,0.163265,0.112245,0.57732,7.265817,1.071429,0.5,0.5,0.349027,0.489652,"0.314927
"

0.0,miniklexi_17,7.5,5.0,1.766667,120,2.4375,3.9375,0.125,0.3125,0.0,0.191667,0.083333,0.25,0.083333,0.097744,0.108333,0.083333,0.041667,0.175,0.108333,0.647059,8.197858,1.4375,0.625,0.5,0.262498,0.294227,"0.304841
"

0.0,miniklexi_18,7.375,5.076271,1.822034,118,2.5,3.6875,0.0625,0.375,0.0625,0.152542,0.067797,0.262712,0.050847,0.112782,0.135593,0.076271,0.016949,0.228814,0.09322,0.632479,7.637523,1.125,0.5625,0.5,0.144644,0.431038,"0.202423
"

0.0,miniklexi_19,7.6,4.552632,1.640351,114,2.333333,3.666667,0.066667,0.466667,0.0,0.105263,0.04386,0.219298,0.078947,0.095238,0.184211,0.070175,0.04386,0.175439,0.131579,0.628319,7.560601,0.8,0.533333,0.933333,0.215811,0.463022,"0.225369
"

0.0,miniklexi_20,6.4,4.828125,1.617188,128,1.85,3.55,0.0,0.55,0.0,0.140625,0.046875,0.210938,0.0625,0.099291,0.179688,0.0625,0.03125,0.179688,0.09375,0.606299,7.957957,0.9,0.4,0.75,0.167789,0.432342,"0.134631
"

0.0,miniklexi_21,6.25,4.86,1.82,100,2.625,3.625,0.3125,0.5,0.0625,0.14,0.05,0.32,0.02,0.137931,0.15,0.05,0.1,0.27,0.06,0.636364,8.727036,0.875,0.3125,0.6875,0.261464,0.394198,"0.04755
"

0.0,miniklexi_22,7.238095,4.973684,1.756579,152,2.52381,3.619048,0.142857,0.428571,0.095238,0.171053,0.072368,0.269737,0.059211,0.122093,0.131579,0.085526,0.039474,0.184211,0.118421,0.552632,7.874833,1.238095,0.619048,0.380952,0.268313,0.451458,"0.287848
"

0.0,miniklexi_23,6.961538,5.027624,1.607735,181,2.307692,3.538462,0.076923,0.461538,0.0,0.176796,0.077348,0.270718,0.060773,0.099502,0.187845,0.055249,0.022099,0.19337,0.060773,0.530387,8.062798,1.230769,0.384615,0.730769,0.24616,0.379854,"0.246296
"

0.0,miniklexi_24,6.4375,4.504854,1.76699,103,2.125,3.625,0.0,0.3125,0.1875,0.135922,0.07767,0.203883,0.067961,0.141667,0.184466,0.038835,0.009709,0.252427,0.067961,0.572816,7.174687,0.875,0.25,0.9375,0.212304,0.396934,"0.423841
"

0.0,miniklexi_25,9.461538,5.195122,1.796748,123,3.615385,4.307692,0.153846,0.461538,0.0,0.146341,0.056911,0.308943,0.02439,0.08209,0.154472,0.089431,0.065041,0.178862,0.113821,0.565574,8.805075,1.384615,0.846154,0.923077,0.243013,0.410743,"0.3543
"

0.0,miniklexi_26,8.666667,4.961538,1.798077,104,2.666667,4.166667,0.166667,0.25,0.083333,0.105769,0.076923,0.240385,0.144231,0.095652,0.163462,0.057692,0.038462,0.144231,0.105769,0.615385,7.832014,0.916667,0.5,1.0,0.336905,0.429546,"0.19021
"

