#id,average_count_of_pronouns_per_sentence,average_count_of_definite_articles_per_sentence,average_count_of_discourse_markers_per_sentence
miniklexi_0,0.642857,0.142857,1.071429
miniklexi_1,0.090909,1.454545,0.272727
miniklexi_2,0.375,1.3125,0.375
miniklexi_3,0.6,0.6,0.8
miniklexi_4,0.529412,0.647059,0.411765
miniklexi_5,0.95,0.5,0.6
miniklexi_6,0.384615,0.615385,0.615385
miniklexi_7,0.4375,0.3125,0.1875
miniklexi_8,0.5,0.5,0.555556
miniklexi_9,0.181818,0.545455,0.272727
miniklexi_10,0.578947,0.315789,0.578947
miniklexi_11,0.5,0.333333,0.722222
miniklexi_12,0.230769,0.615385,1.384615
miniklexi_13,0.578947,0.473684,0.578947
miniklexi_14,0.368421,0.894737,0.210526
miniklexi_15,0.529412,0.352941,0.647059
miniklexi_16,0.5,0.5,0.714286
miniklexi_17,0.625,0.5,0.625
miniklexi_18,0.5625,0.5,0.75
miniklexi_19,0.533333,0.933333,0.933333
miniklexi_20,0.4,0.75,0.7
miniklexi_21,0.3125,0.6875,0.8125
miniklexi_22,0.619048,0.380952,0.714286
miniklexi_23,0.384615,0.730769,0.653846
miniklexi_24,0.25,0.9375,0.25
miniklexi_25,0.846154,0.923077,0.923077
miniklexi_26,0.5,1.0,0.916667
miniklexi_27,0.777778,0.888889,0.888889
miniklexi_28,0.47619,0.238095,0.809524
miniklexi_29,0.615385,0.153846,0.923077
miniklexi_30,0.066667,0.666667,0.933333
miniklexi_31,0.272727,0.409091,0.636364
miniklexi_32,0.692308,0.153846,0.923077
miniklexi_33,0.210526,0.736842,0.315789
miniklexi_34,0.52,0.64,0.56
miniklexi_35,0.352941,0.705882,0.470588
miniklexi_36,0.5,0.142857,0.928571
miniklexi_37,0.647059,0.588235,0.529412
miniklexi_38,0.642857,0.214286,0.714286
miniklexi_39,0.434783,1.173913,0.956522
miniklexi_40,0.25,0.75,1.0
miniklexi_41,0.444444,0.666667,0.277778
miniklexi_42,0.315789,0.578947,0.473684
miniklexi_43,0.842105,0.578947,1.0
miniklexi_44,0.692308,0.615385,0.538462
miniklexi_45,0.5,0.6875,0.6875
miniklexi_46,0.421053,0.526316,0.684211
miniklexi_47,0.705882,0.529412,0.588235
miniklexi_48,0.55,0.55,0.9
miniklexi_49,0.823529,0.058824,1.058824
